Input Compound Name,Matched Compound Name,Matched COMPOUND_ID,Source
1-(1-enyl-oleoyl)-2-docosahexaenoyl-gpe (p-18:1/22:6)*,1-(1-enyl-stearoyl)-2-oleoyl-GPC (P-18:0/18:1),86241,ChEBI
1-(1-enyl-stearoyl)-2-dihomo-linolenoyl-gpe (p-18:0/20:3)*,1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2),133675,ChEBI
hexadecadienoate (16:2n6),hexadecadienoate,78096,UniProt
4-hydroxyphenylacetylglutamine,4-Hydroxyphenylacetylglutamate,28036,KEGG COMPOUND
"2,3-dihydroxy-2-methylbutyrate",2-Hydroxy-3-methylbutyrate,64669,HMDB
2'-o-methylcytidine,2'-O-methylcytidine,19228,IUPAC
2'-o-methyluridine,2'-O-methyluridine,19227,IUPAC
gamma-glutamyl-alpha-lysine,gamma-glutamyl-epsilon-lysine,88494,ChEBI
palmitoyl-oleoyl-glycerol (16:0/18:1) [2]*,1-Palmitoleoyl-2-oleoyl-sn-glycerol,88500,HMDB
oleoyl-oleoyl-glycerol (18:1/18:1)  [1]*,1-Oleoyl-2-oleoyl-3-eicosenoyl-glycerol,131977,HMDB
oleoyl-oleoyl-glycerol (18:1/18:1) [2]*,1-Oleoyl-2-oleoyl-3-eicosenoyl-glycerol,131977,HMDB
linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]*,1-Linoleoyl-3-arachidonoyl-sn-glycerol,156117,SUBMITTER
palmitoyl-arachidonoyl-glycerol (16:0/20:4) [2]*,1-Palmitoyl-2-palmitoleoyl-3-arachidonoyl-glycerol,89777,HMDB
linoleoyl-linolenoyl-glycerol (18:2/18:3) [2]*,1-Linoleoyl-2-g-linolenoyl-sn-glycerol,89210,HMDB
palmitoleoyl-linoleoyl-glycerol (16:1/18:2) [1]*,1-Linoleoyl-2-palmitoleoyl-sn-glycerol,89208,HMDB
oleoyl-arachidonoyl-glycerol (18:1/20:4) [1]*,1-Oleoyl-2-oleoyl-3-arachidonoyl-glycerol,90042,HMDB
oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*,1-Oleoyl-2-oleoyl-3-arachidonoyl-glycerol,90042,HMDB
"diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])*",Diacylglycerol(16:1n7/18:1n9),88500,HMDB
linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*,1-Linoleoyl-2-g-linolenoyl-sn-glycerol,89210,HMDB
stearoyl-arachidonoyl-glycerol (18:0/20:4) [1]*,1-Stearoyl-2-arachidonyl-sn-glycerol,88518,HMDB
stearoyl-arachidonoyl-glycerol (18:0/20:4) [2]*,1-Stearoyl-2-arachidonyl-sn-glycerol,88518,HMDB
perfluorooctanesulfonate (pfos),perfluoromethanesulfonic acid,48511,ChemIDplus
1-palmityl-gpe (o-16:0)*,1-palmitoyl-GPE (16:0),73004,ChEBI
1-palmityl-2-stearoyl-gpc (o-16:0/18:0)*,1-palmitoyl-2-stearoyl-GPC (16:0/18:0),73000,ChEBI
1-palmityl-2-palmitoyl-gpc (o-16:0/16:0)*,1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1),74000,ChEBI
1-stearyl-2-docosapentaenoyl-gpc (o-18:0/22:5n3)*,1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6),84829,ChEBI
1-stearoyl-2-docosapentaenoyl-gpe (18:0/22:5n3)*,1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6),78266,ChEBI
1-stearoyl-2-docosapentaenoyl-gpe (18:0/22:5n6)*,1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6),78266,ChEBI
1-stearoyl-2-adrenoyl-gpe (18:0/22:4)*,1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),78268,ChEBI
1-(1-enyl-stearoyl)-2-docosapentaenoyl-gpe (p-18:0/22:5n3)*,1-(1-enyl-stearoyl)-2-docosahexaenoyl-GPC (P-18:0/22:6),133664,ChEBI
1-palmitoleoyl-2-eicosapentaenoyl-gpc (16:1/20:5)*,1-palmitoyl-2-eicosapentaenoyl-GPC (16:0/20:5),86137,ChEBI
palmitoyl-docosahexaenoyl-glycerol (16:0/22:6) [1]*,1-palmitoyl-2-docosahexaenoyl-sn-glycerol,82949,ChEBI
lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,beta-lactosyl-N-(2-hydroxydocosanoyl)sphingosine,62723,ChEBI
n-behenoyl-sphingadienine (d18:2/22:0)*,"N-behenoyl-(4E,14Z)-sphinga-4,14-dienine",134550,ChEBI
glycosyl-n-behenoyl-sphingadienine (d18:2/22:0)*,beta-D-glucosyl-N-(behenoyl)sphingosine,62107,ChEBI
n-palmitoylserine,N-palmitoyltaurine,132477,ChEBI
palmitoleoyl-arachidonoyl-glycerol (16:1/20:4) [2]*,1-Palmitoleoyl-2-arachidonoyl-sn-glycerol,88489,HMDB
"phosphatidylethanolamine (p-18:1/20:4, p-16:0/22:5n3)*",phosphatidylethanolamine(P-18:1/20:3),167291,SUBMITTER
1-palmitoyl-2-(hydroxylinoleoyl)-gpc (16:0/18:2(oh))*,1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1),74000,ChEBI
"ceramide (d16:1/24:1, d18:1/22:1)*",Ceramide (d18:1/16:0),72959,HMDB
"ceramide (d18:1/14:0, d16:1/16:0)*",Ceramide (d18:1/16:0),72959,HMDB
"ceramide (d18:1/17:0, d17:1/18:0)*",Ceramide (d18:1/16:0),72959,HMDB
"ceramide (d18:2/24:1, d18:1/24:2)*",Ceramide (d18:1/16:0),72959,HMDB
"glycosyl ceramide (d18:2/24:1, d18:1/24:2)*",Glucosyl(beta) Ceramide (d18:1/24:1(15Z)),76302,ChEBI
"ceramide (d18:1/20:0, d16:1/22:0, d20:1/18:0)*",Ceramide (d18:1/16:0),72959,HMDB
"sphingomyelin (d18:0/20:0, d16:0/22:0)*",sphingomyelin (d18:0/18:1(11Z)),134073,HMDB
"sphingomyelin (d18:1/19:0, d19:1/18:0)*",sphingomyelin (d18:1/22:0),74532,ChEBI
sphingomyelin (d18:2/18:1)*,sphingomyelin (d18:1/18:1),85593,ChEBI
sphingomyelin (d18:2/24:2)*,sphingomyelin (d18:1/24:0),83360,SUBMITTER
"sphingomyelin (d18:2/21:0, d16:2/23:0)*",Sphingomyelin (d18:1/16:0),78646,ChEBI
sphingomyelin (d18:2/23:1)*,sphingomyelin(d18:1/23:3),131460,ChEBI
"sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*",Sphingomyelin (d18:1/16:0),78646,ChEBI
"sphingomyelin (d17:2/16:0, d18:2/15:0)*",Sphingomyelin (d18:1/16:0),78646,ChEBI
linolenoylcarnitine (c18:3)*,linoleylcarnitine,73072,ChEBI
arachidoylcarnitine (c20)*,(R)-arachidoylcarnitine,84645,ChEBI
eicosenoylcarnitine (c20:1)*,(R)-eicosanoylcarnitine,84645,ChEBI
docosahexaenoylcarnitine (c22:6)*,"all-cis-7,10,13,16-docosatetraenoylcarnitine",73122,ChEBI
docosapentaenoylcarnitine (c22:5n3)*,"all-cis-7,10,13,16-docosatetraenoylcarnitine",73122,ChEBI
1-lignoceroyl-2-arachidonoyl-gpc (24:0/20:4)*,1-linoleoyl-2-arachidonoyl-GPC,84563,ChEBI
"n,n,n-trimethyl-5-aminovalerate",2-Oxo-4-hydroxy-5-aminovalerate,1241,KEGG COMPOUND
ethyl alpha-glucopyranoside,methyl alpha-D-glucopyranoside,320061,IUPAC
cortolone glucuronide (1),20beta-Cortolone-3-glucuronide,88773,HMDB
(n(1) + n(8))-acetylspermidine,N(8)-acetylspermidine,58535,UniProt
5-dodecenoylcarnitine (c12:1),cis-5-dodecenoylcarnitine,73053,ChEBI
2-butenoylglycine,N-butanoylglycine,89963,IUPAC
3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-cmpfp)**,3-Carboxy-4-methyl-5-propyl-2-furanpropionic acid,41254,HMDB
3-hydroxystachydrine*,3-Hydroxystachydrine,1556,KEGG COMPOUND
n-acetyl-2-aminooctanoate*,2-aminooctanoate,142420,IUPAC
perfluorooctanoate (pfoa),perfluorooctane,38826,ChemIDplus
glyco-beta-muricholate**,beta-muricholate,134119,UniProt
3-formylindole,3-Formylindole,28238,ChemIDplus
3-amino-2-piperidone,3-amino-2-piperidone,76341,ChEBI
"n,n-dimethylalanine","N,N-dimethylalanine",77042,ChEBI
3-indoleglyoxylic acid,3-indolylacrylic acid,132244,MetaCyc
ethyl beta-glucopyranoside,ethyl beta-D-glucopyranosiduronic acid,87248,IUPAC
2-hydroxysebacate,2-Hydroxysebacate,89312,HMDB
ascorbic acid 3-sulfate*,Ascorbic acid,29073,KEGG COMPOUND
6-bromotryptophan,5-bromotryptophan,133686,IUPAC
1-carboxyethylphenylalanine,p-carboxymethylphenylalanine,228213,ChEBI
2-naphthol sulfate,2-naphthol sulfate,167215,ChemIDplus
4-ethylcatechol sulfate,2-ethylhexyl sulfate,87808,UniProt
11beta-hydroxyandrosterone glucuronide,11beta-hydroxyandrosterone 3-glucuronide,88733,HMDB
"n2-acetyl,n6,n6-dimethyllysine",N(6)-ACETYLLYSINE,17752,PDBeChem
deoxycholic acid glucuronide,deoxycholic acid 24-glucuronide,137799,ChEBI
4-allylcatechol sulfate,4-allylphenol sulfate,133096,ChEBI
4-methylhexanoylglutamine,4-methyleneglutamic acid,48029,IUPAC
glycoursodeoxycholic acid sulfate (1),Glycoursodeoxycholic acid 3-sulfate,89129,HMDB
lithocholate sulfate (1),lithocholate 3-sulfate(2-),133940,ChEBI
3-(methylthio)acetaminophen sulfate*,4-acetamido-3-methoxyphenyl sulfate,133502,IUPAC
2-ketocaprylate,2-keto-n-caprylate,176689,ChEBI
3-hydroxy-2-methylpyridine sulfate,"2-methyl-3-hydroxy-4,5-dihydroxymethylpyridine",16709,NIST Chemistry WebBook
hydroxypalmitoyl sphingomyelin (d18:1/16:0(oh))**,sphingomyelin (d18:1(4E)/12:0),137334,ChEBI
"hydroxy-n6,n6,n6-trimethyllysine*",N6-Acetyl-N6-hydroxylysine,17374,KEGG COMPOUND
undecenoylcarnitine (c11:1),undecenoylcarnitines,132135,ChEBI
3-decenoylcarnitine,decenoylcarnitine,86063,ChEBI
palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0),N-palmitoyl-sphingosine,72959,ChEBI
"3,5-dichloro-2,6-dihydroxybenzoic acid","3,5-dichloro-2-hydroxybenzoic acid",165214,SUBMITTER
(s)-a-amino-omega-caprolactam,L-alpha-amino-epsilon-caprolactam,17342,ChEBI
vanillic acid glycine,Vanillic acid,30816,KEGG COMPOUND
1-methyl-5-imidazolelactate,1-methyl-Imidazole-5-acetic acid,70966,HMDB
"3-bromo-5-chloro-2,6-dihydroxybenzoic acid*","3-bromo-4,5-dihydroxybenzoic acid",140242,IUPAC
"branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid*",branched-chain fatty acids,35819,ChEBI
decadienedioic acid (c10:2-dc)**,Decenedioic acid,89730,HMDB
deoxycholic acid 12-sulfate*,Deoxycholic acid 3-sulfate,88888,HMDB
"cis-3,4-methyleneheptanoylcarnitine",9-cis-3-hydroxyoctadecenoylcarnitine,73076,ChEBI
n-acetyl-2-aminoadipate,N2-Acetyl-L-aminoadipate,31885,KEGG COMPOUND
4-chlorobenzoic acid,4-Chlorobenzoic acid,30747,KEGG COMPOUND
"2,4-di-tert-butylphenol","2,4-Tert-butylphenol",89188,HMDB
3-hydroxyoctanoylcarnitine (1),3-Hydroxytetradecenoylcarnitine,89748,HMDB
"n,n-dimethyl-pro-pro","N,N-dimethyl-D-proline",134398,ChEBI
oxindolylalanine,oxindolylalanine,195382,ChEBI
